"location.name","treatment.name","event.type","sample.id","lab.id.x","method","cas.number","analyte","result","units","dilution","result.reported.to","mdl","rl","flag","non.detect","duplicate","method.name","event.count","flow.vol.liter","long","lat","collected","received"
"ARDEC",NA,"Inflow","A2-03-IN-ISC-4-D",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.1679,NA,1,"RL",5,5,NA,FALSE,TRUE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-23,NA
"ARDEC",NA,"Outflow","A2-03-OT-ISC-4",NA,"EPA150.1",NA,"pH",8.16,"pH",1,"RL",0.1,0.1,NA,FALSE,FALSE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-23,NA
"ARDEC",NA,"Outflow","A2-03-OT-ISC-4",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",83.3333333333316,NA,1,"RL",2.5,2.5,NA,FALSE,FALSE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-23,NA
"ARDEC",NA,"Outflow","A2-03-OT-ISC-4",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.1675,NA,1,"RL",5,5,NA,FALSE,FALSE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-23,NA
"ARDEC",NA,"Outflow","A2-03-OT-ISC-4-D",NA,"EPA150.1",NA,"pH",8.12,"pH",1,"RL",0.1,0.1,NA,FALSE,TRUE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-23,NA
"ARDEC",NA,"Outflow","A2-03-OT-ISC-4-D",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",69.9999999999997,NA,1,"RL",2.5,2.5,NA,FALSE,TRUE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-23,NA
"ARDEC",NA,"Outflow","A2-03-OT-ISC-4-D",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.1677,NA,1,"RL",5,5,NA,FALSE,TRUE,"ISCO","Irrigation 3",NA,NA,NA,2023-08-23,NA
"ARDEC",NA,"Outflow","A2-S1-OT-ISC-4",NA,"EPA150.1",NA,"pH",7.32,"pH",1,"RL",0.1,0.1,NA,FALSE,FALSE,"ISCO","Storm 1",NA,NA,NA,2023-08-01,NA
"ARDEC",NA,"Outflow","A2-S1-OT-ISC-4",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",913.333333333329,NA,1,"RL",2.5,2.5,NA,FALSE,FALSE,"ISCO","Storm 1",NA,NA,NA,2023-08-01,NA
"ARDEC",NA,"Outflow","A2-S1-OT-ISC-4",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.455,NA,1,"RL",5,5,NA,FALSE,FALSE,"ISCO","Storm 1",NA,NA,NA,2023-08-01,NA
"ARDEC",NA,"Outflow","A2-S1-OT-ISC-4-D",NA,"EPA150.1",NA,"pH",7.3,"pH",1,"RL",0.1,0.1,NA,FALSE,TRUE,"ISCO","Storm 1",NA,NA,NA,2023-08-01,NA
"ARDEC",NA,"Outflow","A2-S1-OT-ISC-4-D",NA,"E160.2 - TSS_W_160.2",NA,"Suspended Solids (Residue, Non-Filterable)",756.666666666672,NA,1,"RL",2.5,2.5,NA,FALSE,TRUE,"ISCO","Storm 1",NA,NA,NA,2023-08-01,NA
"ARDEC",NA,"Outflow","A2-S1-OT-ISC-4-D",NA,"E120.1 - COND_W",NA,"Specific Conductance",0.357,NA,1,"RL",5,5,NA,FALSE,TRUE,"ISCO","Storm 1",NA,NA,NA,2023-08-01,NA
